Company,First_Name,Last_Name,Email,Domain,License
GIRRAFFE SIGHTS AFRICA,,,gsightsafrica@gmail.com,,UTB/RTT/TO/2022/100341
GISHA AFRICA SAFARIS UGANDA,,,gishafreighter@gmail.com,,UTB/RTT/TO/2025/102091
GLORY SUMMIT TOURS AND TRAVEL,,,glorysummithotel@gmail.com,,UTB/RTT/TO/2023/100738
GOEXPLORE SAFARIS,,,hello@goexploresafaris.com,goexploresafaris.com,UTB/RTT/TO/2021/100027
Go Further 4x4 Car Rentals Limited,,,info@gofurther4x4carrental.com,gofurther4x4carrental.com,UTB/RTT/TO/2025/101626
Go Gorilla Trekking Limited,,,office@gogorillatrekking.com,gogorillatrekking.com,UTB/RTT/TO/2025/101655
1000 Shades of Green Tours and Safari Company Limited,,,info@gogreensafari.com,gogreensafari.com,UTB/RTT/TO/2022/100310
GONJA SAFARIS,,,info@gonjasafaris.com,gonjasafaris.com,UTB/RTT/TO/2023/100824
F N gorilla Safaris Africa Limited,,,info@gorilla-tours-uganda.com,gorilla-tours-uganda.com,UTB/RTT/TO/2023/100641
Encounter Africa Safaris,,,info@gorilla-tracking-uganda.com,gorilla-tracking-uganda.com,UTB/RTT/TO/2020/00161
Gorilla and Adventure Safaris,,,tours@gorillaandadventuresafaris.com,gorillaandadventuresafaris.com,UTB/RTT/TO/2019/00191
GORILLA EXPLORERS,,,gorillaexplorers@gmail.com,,UTB/RTT/TO/2025/101736
GORILLA JUNCTION,,,info@gorillajunction.com,gorillajunction.com,UTB/RTT/TO/2022/100506
GORILLA LEAGUE SAFARIS,,,gorillaleague2025@gmail.com,,UTB/RTT/TO/2025/101935
Gorilla Link Tours,,,info@gorillalinktoursafrica.com,gorillalinktoursafrica.com,UTB/RTT/TO/2020/00521
Gorilla Mist Safaris,,,info@gorillamistsafaris.com,gorillamistsafaris.com,UTB/RTT/TO/2024/101279
Gorilla Page Safaris,,,info@gorillapagesafaris.com,gorillapagesafaris.com,UTB/RTT/TO/2024/100959
Gorilla Consultants,,,enquiries@gorillasafariconsultants.com,gorillasafariconsultants.com,UTB/RTT/TO/2022/100184
Gorilla Safari Experts,,,info@gorillasafariexperts.com,gorillasafariexperts.com,UTB/RTT/TO/2019/0047
Gorilla Safaris Uganda,,,info@gorillasafaris-uganda.com,gorillasafaris-uganda.com,UTB/RTT/TO/2022/100372
Gorillas and Wildlife Safaris,,,info@gorillasandwildlifesafaris.com,gorillasandwildlifesafaris.com,UTB/RTT/TO/2021/00318
Destinations African Gorilla Limited,,,info@gorillasdestinationafrica.com,gorillasdestinationafrica.com,UTB/RTT/TO/2020/00310
Gorilla Tour Booking Safaris,,,info@gorillatourbooking.com,gorillatourbooking.com,UTB/RTT/TO/2021/00560
Gorilla Tours,,,postmaster@gorillatours.com,gorillatours.com,UTB/RTT/TO/2021/001009
Gorilla Trek Africa,,,info@gorillatrekafrica.com,gorillatrekafrica.com,UTB/RTT/TO/2022/100340
Rwizi Africa Expeditions,,,anankunda@gmail.com,,UTB/RTT/TO/2023/100690
Adventure in the Wild Safaris,,,info@gorillaugandasafaris.com,gorillaugandasafaris.com,UTB/RTT/TO/2022/100203
Embrace Africa Gorilla Vacation,,,gorillavacations@gmail.com,,UTB/RTT/TO/2022/100392
GOWILD FOREVER JOURNEYS LTD,,,gowildforeverjourneys@gmail.com,,UTB/RTT/TO/2025/101907
Gracelands African Vacations,,,info@gracelandsvacations.com,gracelandsvacations.com,UTB/RTT/TO/2022/100150
Great Adventures Uganda,,,info@greatadventuresafaris.com,greatadventuresafaris.com,UTB/RTT/TO/2022/100288
Green World Safaris,,,info@greenworldsafaris.com,greenworldsafaris.com,UTB/RTT/TO/2022/100256
GTD Afrika Tours Limited,,,gtdafrika@gmail.com,,UTB/RTT/TO/2025/101799
Gyaviira pilgrimage tours and travel LTD,,,robertssembajjwe47@gmail.com,,UTB/RTT/TO/2024/101268
Hail Tours (U) Ltd,,,hailtoursuganda@gmail.com,,UTB/RTT/TO/2020/00450
HAMSSES TOURS AND TRAVEL,,,hamssestours@gmail.com,,UTB/RTT/TO/2024/101082
HARAMBEE GORILLA SAFARIS,,,harambeegorillasafaris@gmail.com,,UTB/RTT/TO/2025/101646
HARAM TRAVELS,,,haramtravelcoltd@gmail.com,,UTB/RTT/TO/2025/101868
Hare Rangers Adventure,,,harerangesadventure@gmail.com,,UTB/RTT/TO/2024/101457
HARTEBEEST TOURS & TRAVELS,,,info@hartebeesttoursandtravels.com,hartebeesttoursandtravels.com,UTB/RTT/TO/2024/101401
HEART OF AFRICA ADVENTURES,,,heartofafricaadventures5@gmail.com,,UTB/RTT/TO/2024/101463
Heritage Explorers Uganda Limited,,,ahmeds@heritagexplorers.com,heritagexplorers.com,UTB/RTT/TO/2023/100761
HIGE SAFARIS,,,services@higesafaris.com,higesafaris.com,UTB/RTT/TO/2025/102118
HIKE NATURE SAFARIS,,,travel@hikenaturesafaris.com,hikenaturesafaris.com,UTB/RTT/TO/2023/100861
Hoopoe African Expeditions,,,info@hoopoeafricanexpeditions.com,hoopoeafricanexpeditions.com,UTB/RTT/TO/2023/100631
Hospitable Africa Tours,,,info@hospitableafricatourstravel.com,hospitableafricatourstravel.com,UTB/RTT/TO/2022/100563
Hotana Safaris Ltd,,,hello@hotanasafaris.com,hotanasafaris.com,UTB/RTT/TO/2024/101106
Hugu Hugu Adventures,,,contact@huguhuguadventures.com,huguhuguadventures.com,UTB/RTT/TO/2019/00242
HUKO SAFARIS LTD,,,eriqmuwanika@gmail.com,,UTB/RTT/TO/2024/101033
Hygiene Tours and Travel,,,info@hygieneconsultants.net,hygieneconsultants.net,UTB/RTT/TO/2026/102209
Ibanga Expeditions,,,ibangaexpeditions@gmail.com,,UTB/RTT/TO/2025/101688
Ichumu Safaris Africa,,,info@ichumusafarisafricaltd.com,ichumusafarisafricaltd.com,UTB/RTT/TO/2024/101087
IKIYA PRIMATE SAFARIS,,,info@ikiyaprimatesafaris.com,ikiyaprimatesafaris.com,UTB/RTT/TO/2024/101249
Impala Safaris (U) Limited,,,impalacarhireservices@yahoo.com,,UTB/RTT/TO/2019/00367
Inkende Voyages,,,info@inkendevoyages.com,inkendevoyages.com,UTB/RTT/TO/2024/101354
Irembo safaris,,,toursstephen@gmail.com,,UTB/RTT/TO/2022/100235
Irembo Holidays,,,iremboholidays@gmail.com,,UTB/RTT/TO/2019/0030
Isitoshe Tours and Travel,,,isitoshetoursuganda@gmail.com,,UTB/RTT/TO/2023/100707
ITTIBA TRAVELS,,,ittibatravels25@gmail.com,,UTB/RTT/TO/2025/102056
JACKAL ADVENTURES LTD,,,info@jackalwildadventures.com,jackalwildadventures.com,UTB/RTT/TO/2024/101304
Jerodi Africa Safari,,,info@jerodiafricasafari.com,jerodiafricasafari.com,UTB/RTT/TO/2024/101273
Jewel Safaris Limited,,,info@jewelsafaris.com,jewelsafaris.com,UTB/RTT/TO/2019/00311
JIMNAT GORILLA TOURS,,,info@jimnatgorillatours.com,jimnatgorillatours.com,UTB/RTT/TO/2025/101554
JM JUNGLE SAFARIS,,,jmjunglesafaris@gmail.com,,UTB/RTT/TO/2023/100868
Johnnie Uganda Safaris,,,info@johnnieugandasafaris.com,johnnieugandasafaris.com,UTB/RTT/TO/2022/100311
Jomert Gorilla Safaris Ltd,,,jomertgorillasafaris@gmail.com,,UTB/RTT/TO/2022/100515
JONAH SAFARIS,,,jonahsafaris@gmail.com,,UTB/RTT/TO/2024/101204
JOURNEY MAKERS AFRICA,,,journeymakersafrica@gmail.com,,UTB/RTT/TO/2025/101707
Journeys Uganda,,,info@journeysuganda.com,journeysuganda.com,UTB/RTT/TO/2022/100285
JUNGLE JUNCTION,,,info@junglejunctionltd.com,junglejunctionltd.com,UTB/RTT/TO/2023/100817
African Jungle Adventures.,,,info@junglesafarisuganda.com,junglesafarisuganda.com,UTB/RTT/TO/2022/100243
Justice Tourism Foundation,,,info@justicetourism.co.ug,justicetourism.co.ug,UTB/RTT/TO/2024/101265
Kabarole Tours & Safari Limited,,,info@kabarole-tours.com,kabarole-tours.com,UTB/RTT/TO/2022/100365
Kagacyclingsafaris,,,kagacyclingsafarisltd@gmail.com,,UTB/RTT/TO/2024/101028
Kagera Safaris,,,info@kagerasafaris.com,kagerasafaris.com,UTB/RTT/TO/2019/00136
KAJAGYI FALLS GORILLA,,,ug.kajagyigorillatours@gmail.com,,UTB/RTT/TO/2024/101424
Kajie Safaris Limited,,,info@kajiesafaris.com,kajiesafaris.com,UTB/RTT/TO/2022/100238
KAJU GLOBAL TOURS,,,info@kajuglobal.com,kajuglobal.com,UTB/RTT/TO/2024/101298
Kampala Walking Tours,,,info@kampalawalkingtours.com,kampalawalkingtours.com,UTB/RTT/TO/2019/00107
KATELLA UGANDA SAFARIS LTD,,,info@katellaugandasafaris.com,katellaugandasafaris.com,UTB/RTT/TO/2022/100221
Katona Tours and Travel,,,info@katonatours.com,katonatours.com,UTB/RTT/TO/2022/100435
KATSAM ADVENTURES,,,info@katsam-adventures.com,katsam-adventures.com,UTB/RTT/TO/2023/100914
Kawira Safaris Ltd,,,holidays@kawirasafaris.net,kawirasafaris.net,UTB/RTT/TO/2024/101164
Kazinga Tours Limited,,,mail@kazingatours.com,kazingatours.com,UTB/RTT/TO/2019/0019
Kazinga channel ventures,,,kcsafari@yahoo.com,,UTB/RTT/TO/2024/101139
Kanzira Discovery,,,ugankanziradiscovery@gmail.com,,UTB/RTT/TO/2024/101056
Kenlink Tours and Travel Limited,,,info@kenlinktoursandtravel.com,kenlinktoursandtravel.com,UTB/RTT/TO/2020/0040
K&G Tours and Travel,,,kgestablishments@gmail.com,,UTB/RTT/TO/2025/101606
Kibo Slopes Uganda Limited,,,kampala@kiboslopes.com,kiboslopes.com,UTB/RTT/TO/2019/0092
Kigere Tours,,,companysafaris@gmail.com,,UTB/RTT/TO/2019/00137
KIGEZI BIOTA TOURS,,,kigezibiotatours@gmail.com,,UTB/RTT/TO/2019/00219
Kikooko Africa Safaris,,,warren@kikooko.travel,kikooko.travel,UTB/RTT/TO/2022/100593
KINGDOM ADVENTURES LTD,,,kingdomadventures2024@gmail.com,,UTB/RTT/TO/2025/101908
Kisoro Tours Uganda Limited,,,info@kisorotoursuganda.com,kisorotoursuganda.com,UTB/RTT/TO/2022/100214
KITARA WILDLIFE ADVENTURE SAFARIS,,,info@kitarawildlifeadventures.com,kitarawildlifeadventures.com,UTB/RTT/TO/2024/101214
Kripton Safaris Uganda Limited,,,info@kriptonsafaris.co,kriptonsafaris.co,UTB/RTT/TO/2025/101896
KURIKAYO AFRICA ADVENTURES,,,kurikayoafricaadventures@gmail.com,,UTB/RTT/TO/2025/101513
KUWEPO TRIPS,,,kuwepotrip@hotmail.com,,UTB/RTT/TO/2025/101970
Kyamba Safaris Limited,,,info@kyambasafaris.com,kyambasafaris.com,UTB/RTT/TO/2025/101842
KYOMOLE ADVENTURES,,,info@kyomoleadventures.com,kyomoleadventures.com,UTB/RTT/TO/2025/101936
Laba Africa Expedition,,,info@labaafrica.com,labaafrica.com,UTB/RTT/TO/2020/00594
LA REAL TRAVELS COMPANY LIMITED,,,info@lareal.co.ug,lareal.co.ug,UTB/RTT/TO/2026/102235
Lasendle Afrika,,,info@lasendleafrika.com,lasendleafrika.com,UTB/RTT/TO/2022/100531
SANYOG GUPTA VOYAGES,,,info@lastaevents.com,lastaevents.com,UTB/RTT/TO/2025/101893
Lifetime Experience Safaris,,,info@lifetimesafari.com,lifetimesafari.com,UTB/RTT/TO/2021/100031
Livingstone Safaris,,,info@livingstonesafaris.org,livingstonesafaris.org,UTB/RTT/TO/2022/100343
LocalMotion Safaris LTD,,,info@localmotionsafaris.com,localmotionsafaris.com,UTB/RTT/TO/2025/101987
Lulu Safaris,,,info@lulusafarisuganda.com,lulusafarisuganda.com,UTB/RTT/TO/2022/100624
LUOVA EXPERIENCES,,,bookings@luovaexperiences.com,luovaexperiences.com,UTB/RTT/TO/2025/102032
Magical Gorilla Adventures,,,info@magicalgorillaadventures.com,magicalgorillaadventures.com,UTB/RTT/TO/2023/100931
Mahanda Africa Safaris.,,,info@mahandasafaris.com,mahandasafaris.com,UTB/RTT/TO/2020/00674
MAKALI SAFARIS LIMITED,,,info@makalisafaris.com,makalisafaris.com,UTB/RTT/TO/2024/101366
Malachite Tour and Travel,,,malachitetravel@gmail.com,,UTB/RTT/TO/2022/100428
Mamaland Safaris,,,info@mamalandsafaris.com,mamalandsafaris.com,UTB/RTT/TO/2021/00567
Mambo gorilla safaris Uganda,,,info@mambogorillasafarisuganda.com,mambogorillasafarisuganda.com,UTB/RTT/TO/2023/100777
MANDELA SAFARI HOLIDAYS,,,info@mandelasafariholidays.com,mandelasafariholidays.com,UTB/RTT/TO/2022/100517
Manya Africa Tours,,,info@manyaafricatours.com,manyaafricatours.com,UTB/RTT/TO/2020/00104
Premier Safaris Limited,,,marasa@marasa.net,marasa.net,UTB/RTT/TO/2025/101942
MARVEL GORILLA ADVENTURE,,,kikabiherbert7@gmail.com,,UTB/RTT/TO/2024/101404
MASAVU-MASAVU TOURS AND TRAVEL,,,masavumasavutoursandtravel@gmail.com,,UTB/RTT/TO/2025/102122
Matunda Tours,,,info@matundatours.com,matundatours.com,UTB/RTT/TO/2024/101397
Mega Wild Safaris Limited,,,megawildsafaris@gmail.com,,UTB/RTT/TO/2022/100509
MIOMBO SAFARIS,,,social@miombosafaris.com,miombosafaris.com,UTB/RTT/TO/2025/101971
MIRAMA HILLS SAFARI'S,,,info@miramahillssafaris.com,miramahillssafaris.com,UTB/RTT/TO/2022/100403
MIZUBE TOURS AND TRAVEL,,,Info@mizubetours.com,mizubetours.com,UTB/RTT/TO/2023/100635
Mj Safaris Uganda,,,info@mjsafarisuganda.com,mjsafarisuganda.com,UTB/RTT/TO/2019/00423
Monkey O'clock,,,info@monkey-oclock.com,monkey-oclock.com,UTB/RTT/TO/2022/100532
Moroka Expeditions Limited,,,info@morokaexpeditions.com,morokaexpeditions.com,UTB/RTT/TO/2023/100821
Mugenyi Eco Tours,,,info@mugenyi-eco-tours.com,mugenyi-eco-tours.com,UTB/RTT/TO/2024/101294
Mukisa Safaris Uganda,,,info@mukisasafarisuganda.com,mukisasafarisuganda.com,UTB/RTT/TO/2022/100231
MUMWE AFRICAN SKIMMER SAFARIS LIMITED,,,mumwesafarisuganda@gmail.com,,UTB/RTT/TO/2025/101920
MUNDA AFRICA ADVENTURES LTD,,,info@mundaafrica.com,mundaafrica.com,UTB/RTT/TO/2025/101615
MUNO GORILLA SAFARIS LTD,,,info@munogorillatours.com,munogorillatours.com,UTB/RTT/TO/2025/101641
Musana Tours & Travel,,,info@musanatoursandtravel.com,musanatoursandtravel.com,UTB/RTT/TO/2022/100180
MWITU TOURS AND TRAVEL,,,info@mwittutours.org,mwittutours.org,UTB/RTT/TO/2025/101945
Myler Africa Safaris,,,bookings@mylerafricasafaris.com,mylerafricasafaris.com,UTB/RTT/TO/2020/00797
Mystic Adventures,,,info@mysticadventuresug.com,mysticadventuresug.com,UTB/RTT/TO/2022/100537
My Trip 2 Africa Tours,,,info@mytrip2africatours.com,mytrip2africatours.com,UTB/RTT/TO/2024/101069
Nahan's Safaris,,,info@nahansafarisug.com,nahansafarisug.com,UTB/RTT/TO/2022/100277
NAKRA SAFARIS UGANDA-SMC LIMITED,,,info@nakrasafarisuganda.com,nakrasafarisuganda.com,UTB/RTT/TO/2023/100683
Nalia Adventures,,,ishaqkibuukamuniina@gmail.com,,UTB/RTT/TO/2025/101903
Naseeb safaris (U) Limited,,,info@naseebsafarisuganda.com,naseebsafarisuganda.com,UTB/RTT/TO/2023/100922
NATURE CONNECT SAFARIS,,,info@natureconnectsafarisuganda.com,natureconnectsafarisuganda.com,UTB/RTT/TO/2022/100377
NATURE RESPONSIBLE SAFARI UGANDA,,,info@natureresponsiblesafaris-uganda.com,natureresponsiblesafaris-uganda.com,UTB/RTT/TO/2023/100668
Nature Safari Focus,,,info@naturesafarifocus.com,naturesafarifocus.com,UTB/RTT/TO/2022/100530
Nature Wild Africa,,,naturewildafrica@gmail.com,,UTB/RTT/TO/2023/100881
NECHABEST SUSTAINABLE ADVENTURES,,,Info@nechabest.com,nechabest.com,UTB/RTT/TO/2026/102347
NEXTO INVESTMENT COMPANY LIMITED,,,info@nextgensafaris.com,nextgensafaris.com,UTB/RTT/TO/2025/101835
Next trip safaris,,,nexttripssafaria@gmail.com,,UTB/RTT/TO/2025/101943
Ngoni Safaris Uganda Limited,,,info@ngonisafarisuganda.com,ngonisafarisuganda.com,UTB/RTT/TO/2020/00457
NIRVANA SAFARIS,,,nirvanasafaris@gmail.com,,UTB/RTT/TO/2024/101373
Nkorongo Safaris,,,nkorongosafarislimited@gmail.com,,UTB/RTT/TO/2025/101953
Nkuringo Safaris Limited,,,lydia@nkuringosafaris.com,nkuringosafaris.com,UTB/RTT/TO/2019/00142
Nomad footprint safaris,,,info@nomadfootprintsafaris.com,nomadfootprintsafaris.com,UTB/RTT/TO/2026/102362
Nsavi Safaris,,,info@nsavisafaris.com,nsavisafaris.com,UTB/RTT/TO/2022/100162
NTALE SAFARIS,,,info@ntalesafaris.com,ntalesafaris.com,UTB/RTT/TO/2025/101648
NTEBEKO TOURS,,,info@ntebekotours.com,ntebekotours.com,UTB/RTT/TO/2023/100877
NYUMBU BEYOND JOURNEYS,,,safaritrail@nyumbujourneys.com,nyumbujourneys.com,UTB/RTT/TO/2024/101308
NZAINO TRAVEL AFRICA,,,nzainotravelafricaltd@gmail.com,,UTB/RTT/TO/2024/101336
Nziza Hospitality,,,reservations@nzizahospitality.com,nzizahospitality.com,UTB/RTT/TO/2020/00479
Okapi Voyage,,,christiangafaranga@gmail.com,,UTB/RTT/TO/2025/101924
OKWEZI SAFARIS,,,reservations@okwezisafaris.com,okwezisafaris.com,UTB/RTT/TO/2024/101488
ONE MORE ADVENTURE SAFARIS,,,onemoreadventuresafaris@gmail.com,,UTB/RTT/TO/2023/100845
OPENBILL SAFARIS UGANDA,,,openbillsafarisuagnda@gmail.com,,UTB/RTT/TO/2026/102199
Oree Safaris,,,info@oreesafaris.com,oreesafaris.com,UTB/RTT/TO/2022/100284
Ostafrika Safaris,,,info@ostafrikasafaris.com,ostafrikasafaris.com,UTB/RTT/TO/2023/100863
Ovacado Adventures,,,info@ovacadoadventures.com,ovacadoadventures.com,UTB/RTT/TO/2019/0096
Paramount Expeditions Tours,,,info@paramountgorilla.com,paramountgorilla.com,UTB/RTT/TO/2025/101960
PawMac Tour and Safaris,,,pawmacsafaris@gmail.com,,UTB/RTT/TO/2025/101867
Peak Cruise Safaris Limited,,,peakcruisesafaris@gmail.com,,UTB/RTT/TO/2019/003
Pearl Afric Tour and Travel Uganda,,,info@pearlafric.com,pearlafric.com,UTB/RTT/TO/2019/00241
PEARL GLAMPING SAFARIS LIMITED,,,tmotse04@gmail.com,,UTB/RTT/TO/2025/101819
Pearl Gorilla Tracking Expeditions,,,info@pearlgorilla.com,pearlgorilla.com,UTB/RTT/TO/2023/100701
PEARL NATURE HOLIDAYS AND SAFARIS,,,info@pearlnatureholidays.com,pearlnatureholidays.com,UTB/RTT/TO/2023/100679
Pelican Tours and Travel,,,pelicantours@gmail.com,,UTB/RTT/TO/2024/101148
Pinnacle Africa,,,sales@pinnacle.africa,pinnacle.africa,UTB/RTT/TO/2020/00417
Pride Nature Safaris (U) Limited,,,info@pridenaturesafaris.com,pridenaturesafaris.com,UTB/RTT/TO/2019/00238
Primate Expeditions Limited,,,info@primateexpeditions.info,primateexpeditions.info,UTB/RTT/TO/2019/0051
Primate Link Safaris,,,info@primatelinksafaris.com,primatelinksafaris.com,UTB/RTT/TO/2020/00644
Primate Safari Experiences,,,info@primatesafaris.com,primatesafaris.com,UTB/RTT/TO/2020/00692
Primate World Safaris (U) Limited,,,info@primateworldsafaris.com,primateworldsafaris.com,UTB/RTT/TO/2020/00375
Private Trip,,,info@privatetripuganda.com,privatetripuganda.com,UTB/RTT/TO/2022/100163
Promote Uganda Safaris,,,info@kampalasightseeing.com,kampalasightseeing.com,UTB/RTT/TO/2019/00266
PUMBA ADVENTURES TOURS AND TRAVEL,,,info@pumbaadventures.com,pumbaadventures.com,UTB/RTT/TO/2023/100632
Nile River Explorers,,,rafting@raftafrica.com,raftafrica.com,UTB/RTT/TO/2021/100118
Raft Uganda,,,info@raftuganda.com,raftuganda.com,UTB/RTT/TO/2019/0013
Range Land Safaris,,,rangelandsafaris@gmail.com,,UTB/RTT/TO/2020/00227
RAW AFRICA ECO TOURS,,,rawafricatourism@gmail.com,,UTB/RTT/TO/2022/100578
Red Dirt Uganda,,,thies@reddirtuganda.com,reddirtuganda.com,UTB/RTT/TO/2022/100282
Cresco Safaris,,,rinnomoekidepovalley@gmail.com,,UTB/RTT/TO/2020/00664
Ripple Safaris Limited,,,info@ripplesafaris.com,ripplesafaris.com,UTB/RTT/TO/2024/101347
RISO AFRICAN SAFARIS,,,info@risogorillaafricansafaris.com,risogorillaafricansafaris.com,UTB/RTT/TO/2025/101948
ROADS OF ADVENTURE SAFARIS,,,info@roadsofadventuresafaris.com,roadsofadventuresafaris.com,UTB/RTT/TO/2025/101998
Roadtrip Uganda Limited,,,info@roadtripafrica.com,roadtripafrica.com,UTB/RTT/TO/2021/00400
ROHIMO TOURS AND SAFARIS,,,rohimotours@gmail.com,,UTB/RTT/TO/2021/100000
Rorena Tours and Safaris,,,rorenatoursandsafaris21@yahoo.com,,UTB/RTT/TO/2021/100067
ROTIM GORILLA TOUR AND TRAVEL CO. LTD,,,rotimgorillatour@gmail.com,,UTB/RTT/TO/2025/101834
ROYALE VOYAGE AND SAFARIS,,,royalesafaris@gmail.com,,UTB/RTT/TO/2026/102276
RUHUUKA TRAVELS,,,info@ruhuukatravels.com,ruhuukatravels.com,UTB/RTT/TO/2025/102024
RUMARA SAFARIS,,,rumarasafaris@gmail.com,,UTB/RTT/TO/2022/100508
Rustic Expeditions Ltd,,,info@rustic-expeditions.com,rustic-expeditions.com,UTB/RTT/TO/2024/101280
RWAKABUNGA SAFARIS,,,info@rwakabungasafaris.com,rwakabungasafaris.com,UTB/RTT/TO/2026/102189
Rwenjura Tours and Travel,,,info@rwenjuratoursandtravel.com,rwenjuratoursandtravel.com,UTB/RTT/TO/2022/100229
The Uganda Safari Company,,,info@safariuganda.com,safariuganda.com,UTB/RTT/TO/2021/00584
SAFARI UGANDA,,,kontakt@safariuganda.de,safariuganda.de,UTB/RTT/TO/2022/100262
Safari with Edris,,,info@safariwithedris.com,safariwithedris.com,UTB/RTT/TO/2022/100250
SANDFIELD TRAVEL,,,info@sandfieldtravel.com,sandfieldtravel.com,UTB/RTT/TO/2023/100654
SAVANNAH EXPLORE AFRICA,,,info@savannahexploreltd.com,savannahexploreltd.com,UTB/RTT/TO/2026/102318
Scenic Luxury Vacation,,,scenicluxuryvacation@gmail.com,,UTB/RTT/TO/2022/100316
SEERODI TOUR AND TRAVEL,,,seeroditourstravel@gmail.com,,UTB/RTT/TO/2026/102190
selam holidays,,,selamholidays@gmail.com,,UTB/RTT/TO/2025/101939
Sense of Africa (Uganda) Limited,,,info@senseofafrica.co.ug,senseofafrica.co.ug,UTB/RTT/TO/2020/00203
Shemeza Safari Escapes,,,info@shemezaasafariescapes.com,shemezaasafariescapes.com,UTB/RTT/TO/2025/101937
SHOEBILL SAFARIS,,,tours@shoebillsafaris.com,shoebillsafaris.com,UTB/RTT/TO/2022/100356
SHON TOURS AND TRAVEL,,,shontoursandtravel@gmail.com,,UTB/RTT/TO/2023/100805
Siiru Tours and Travel,,,siirutourstravel@gmail.com,,UTB/RTT/TO/2024/100944
SILVERBACK GORILLA SAFARIS & RESORT,,,byarseith2012@gmail.com,,UTB/RTT/TO/2022/100252
Maseke Adventure,,,info@silverbackwildadventures.com,silverbackwildadventures.com,UTB/RTT/TO/2025/101536
SIYABONGE TOURS & TRAVEL CO. LTD,,,info@siyabongetoursandtravel.com,siyabongetoursandtravel.com,UTB/RTT/TO/2025/102007
SKYWAY EXPEDITIONS,,,info@skywayexpeditions.ug,skywayexpeditions.ug,UTB/RTT/TO/2022/100402
SNOWFIELD TREKS UGANDA,,,snowfieltrekssafaris@gmail.com,,UTB/RTT/TO/2025/101523
SOUL CITY VACATIONS TOURS AND TRAVEL,,,info@soulcityvacations.com,soulcityvacations.com,UTB/RTT/TO/2024/101365
Speke Uganda Holidays.,,,admin@spekeugandaholidays.com,spekeugandaholidays.com,UTB/RTT/TO/2021/00368
SPINE PEARL SAFARIS LIMTED,,,info@spinesafaris.com,spinesafaris.com,UTB/RTT/TO/2025/102025
Standard Safaris,,,standardsafaris@gmail.com,,UTB/RTT/TO/2022/100382
Steadfast Safaris and Tours Limited,,,info@steadfastsafaris.com,steadfastsafaris.com,UTB/RTT/TO/2022/100144
Summit Fever Expeditions,,,info@summitfeverexped.com,summitfeverexped.com,UTB/RTT/TO/2023/100664
Sun Africa Expeditions,,,ddamulira@sunafricaexpeditions.com,sunafricaexpeditions.com,UTB/RTT/TO/2019/00133
Super Shuttle Tours and Adventures,,,supershutleinternational@gmail.com,,UTB/RTT/TO/2023/100880
SEVERIN UGANDA TOURS AND TRAVEL,,,andwaanahok@gmail.com,,UTB/RTT/TO/2023/100833
SUUBI SAFARIS AND TOURS,,,suubisafaris@gmail.com,,UTB/RTT/TO/2024/101043
Tales of Africa Safaris,,,safaris@talesofafricasafaris.com,talesofafricasafaris.com,UTB/RTT/TO/2022/100182
TANGAARA SAFARIS,,,info@tangaarasafaris.com,tangaarasafaris.com,UTB/RTT/TO/2023/100789
Terrace Uganda Safaris,,,info@terracesafaris.com,terracesafaris.com,UTB/RTT/TO/2021/100056
TFH Destination Management,,,admin@tfhdestinationmanagement.com,tfhdestinationmanagement.com,UTB/RTT/TO/2022/100347
African Encounters Limited,,,theafricanencounters22@gmail.com,,UTB/RTT/TO/2022/100489
Lionking Safaris Uganda,,,info@thelionkingsafaris.com,thelionkingsafaris.com,UTB/RTT/TO/2021/001044
SUNSET ADVENTURES,,,safaris@thesunsetadventures.com,thesunsetadventures.com,UTB/RTT/TO/2023/100900
IVAN GORILLA NOMAD SAFARIS,,,gorillanomadsafaris@gmail.com,,UTB/RTT/TO/2025/101946
Thousand Hills Expeditions Uganda Limited,,,uganda@thousandhillsexpeditions.com,thousandhillsexpeditions.com,UTB/RTT/TO/2021/00384
T&M GLOBAL VENTURES,,,info@tmglobalventures.com,tmglobalventures.com,UTB/RTT/TO/2025/102087
Topi Tours,,,reservations@topitours.info,topitours.info,UTB/RTT/TO/2021/00982
TOUR DE CHANNEL AFRICAN SAFARIS,,,mosesbyaruhanga123@gmail.com,,UTB/RTT/TO/2026/102203
Traccar Safaris,,,info@traccarsafaris.com,traccarsafaris.com,UTB/RTT/TO/2024/101257
Kiboko Africa Safaris,,,kafricasafaris@gmail.com,,UTB/RTT/TO/2022/100253
TRAFORD SAFARIS LTD,,,info@trafordsafaris.com,trafordsafaris.com,UTB/RTT/TO/2024/101303
TTN Safari East Africa,,,info@travel-to-nature-uganda.com,travel-to-nature-uganda.com,UTB/RTT/TO/2022/100135
JALIA TOURS AND TRAVEL,,,travel@jalia.city,jalia.city,UTB/RTT/TO/2025/101709
Travulous,,,info@travulous.com,travulous.com,UTB/RTT/TO/2024/101172
Trekking Timmy,,,trekwithtim@trekkingtimmy.com,trekkingtimmy.com,UTB/RTT/TO/2019/0015
TREKMAN SAFARIS AND LOGISTICS LTD,,,info@trekmansafaris.com,trekmansafaris.com,UTB/RTT/TO/2024/100992
Venture Treks and Safaris,,,info@treksandsafaris.com,treksandsafaris.com,UTB/RTT/TO/2022/100188
Trevor Tour Safaris Africa,,,info@trevortoursafaris.com,trevortoursafaris.com,UTB/RTT/TO/2020/00600
